antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['REGENCY TEA PLATE ROSES ', 'REGENCY TEA PLATE PINK']",['REGENCY TEA PLATE GREEN '],0.011126564673157162,0.01578990427881862,0.01055387384439172,0.9485294117647058,60.07189119170984,1.0,0.010378186453250483,19.12179614544008,0.9944177324218538,0.645,0.9477036575228595,0.8084615970740627
"['REGENCY TEA PLATE GREEN ', 'REGENCY TEA PLATE PINK']",['REGENCY TEA PLATE ROSES '],0.011535629550846764,0.01869426491041479,0.01055387384439172,0.9148936170212765,48.93980166674426,1.0,0.010338223729659781,11.530342387302609,0.9909985255790854,0.5363825363825363,0.9132723065447549,0.7397225196703756
"['STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT', 'CHARLOTTE BAG SUKI DESIGN']",['RED RETROSPOT CHARLOTTE BAG'],0.011167471160926123,0.04295181215740816,0.010103902478933158,0.9047619047619047,21.064580498866214,1.0,0.009624239355355786,10.049005972347203,0.9632843951603245,0.22955390334572492,0.9004876698499539,0.57
"['ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.013785486378139573,0.043238157571790885,0.012394665793994928,0.8991097922848665,20.794359491197586,1.0,0.011798606761773153,9.483198261714904,0.9652160080996279,0.27772685609532544,0.8945503434176685,0.5928850758964541
['REGENCY TEA PLATE PINK'],['REGENCY TEA PLATE GREEN '],0.01284463715945349,0.01578990427881862,0.011535629550846764,0.8980891719745223,56.87742978779578,1.0,0.011332813959602837,9.657561564264094,0.9952013335637445,0.6746411483253587,0.8964541936030412,0.8143295600805254
"['SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS ']",['SET/6 RED SPOTTY PAPER PLATES'],0.012108320379612207,0.021557719054242003,0.010840219258774441,0.8952702702702702,41.52898866608544,1.0,0.010579191489812009,9.342545650320778,0.9878820266416658,0.4749103942652329,0.8929627922165234,0.6990582850402585
"['ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.025116583490141536,0.043238157571790885,0.022457661785159126,0.8941368078175895,20.679345699062246,1.0,0.021371666990547343,9.037719557706463,0.9761603843785673,0.4893048128342245,0.889352618919526,0.7067656602947929
"['JUMBO BAG RED RETROSPOT', 'SUKI  SHOULDER BAG']",['DOTCOM POSTAGE'],0.011535629550846764,0.02900269982819275,0.010185715454471079,0.8829787234042552,30.444707859436424,1.0,0.00985115105327864,8.297613292377255,0.9784404959683128,0.3355795148247978,0.8794834171268662,0.6170887975272334
"['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.014153644768060214,0.04581526630123538,0.012394665793994928,0.8757225433526011,19.114208298926506,1.0,0.011746212789813162,7.677858554878431,0.9612886350875751,0.2605331040412726,0.8697553500299103,0.5731291288191577
"['JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT']",['JUMBO BAG RED RETROSPOT'],0.01268101120837765,0.08733535138672993,0.011003845209850283,0.867741935483871,9.935746770416259,1.0,0.00989634464002756,6.900635148051557,0.9109045027372767,0.12362132352941178,0.8550858031840217,0.4968686258215608
['REGENCY TEA PLATE PINK'],['REGENCY TEA PLATE ROSES '],0.01284463715945349,0.01869426491041479,0.011126564673157162,0.8662420382165604,46.33731480578126,1.0,0.010886443623420181,7.336428590907847,0.9911500838525367,0.5450901803607214,0.8636938957956578,0.7307140169200964
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.016444408083121982,0.043238157571790885,0.014153644768060214,0.8606965174129354,19.905948027130197,1.0,0.013442618860187354,6.868183226002506,0.96564318979751,0.3108715184186882,0.8544010887458472,0.5940190250262407
"['STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT']",['RED RETROSPOT CHARLOTTE BAG'],0.01562627832774278,0.04295181215740816,0.013417327988218932,0.8586387434554973,19.990745450012465,1.0,0.012746151016766346,6.770229773256848,0.9650571038207058,0.2971014492753623,0.85229452566734,0.5855098479182248
"['WOODLAND CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN']",['RED RETROSPOT CHARLOTTE BAG'],0.012435572281763887,0.04295181215740816,0.0106765933076986,0.8585526315789473,19.98874060150376,1.0,0.010142462942982407,6.766108118701113,0.9619340358815704,0.23879231473010065,0.8522045491357046,0.553562030075188
"['WOODLAND CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT', 'CHARLOTTE BAG SUKI DESIGN']",['RED RETROSPOT CHARLOTTE BAG'],0.012026507404074287,0.04295181215740816,0.01030843491777796,0.8571428571428571,19.95591836734694,1.0,0.009791874630848482,6.69933731489814,0.9614524677045378,0.2307692307692308,0.850731504774931,0.5485714285714286
"['GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.02634377812321034,0.04581526630123538,0.022457661785159126,0.8524844720496895,18.60699589618456,1.0,0.021250714575063584,6.468368089494785,0.971859216802127,0.4518518518518518,0.8454015006313431,0.6713315217391305
"['JUMBO BAG SCANDINAVIAN BLUE PAISLEY', 'JUMBO BAG PINK POLKADOT']",['JUMBO BAG RED RETROSPOT'],0.01309007608606725,0.08733535138672993,0.011003845209850283,0.8406250000000001,9.625254683840751,1.0,0.00986061881519457,5.726523285416599,0.9079923339271798,0.12305580969807871,0.8253739747209896,0.48331015807962535
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.016444408083121982,0.04581526630123538,0.013785486378139573,0.8383084577114428,18.29757906894101,1.0,0.013032081442645152,5.901265583798514,0.9611535626820662,0.2843881856540085,0.8305448236823257,0.5696006574271499
['REGENCY TEA PLATE GREEN '],['REGENCY TEA PLATE ROSES '],0.01578990427881862,0.01869426491041479,0.01317188906160517,0.8341968911917097,44.62314486230314,1.0,0.012876708408106842,5.918500214759056,0.9932738030699648,0.6180422264875239,0.8310382759628386,0.7693960385936667
